prev1	prev2	prev3	prev4	prev5	prev6	prev7	prevy8	prev9	result
5	8	13	30	16	13	19	7	19	13
8	13	30	16	13	19	7	19	13	12
13	30	16	13	19	7	19	13	12	14
30	16	13	19	7	19	13	12	14	5
16	13	19	7	19	13	12	14	5	10
13	19	7	19	13	12	14	5	10	12
19	7	19	13	12	14	5	10	12	4
7	19	13	12	14	5	10	12	4	14
19	13	12	14	5	10	12	4	14	5
13	12	14	5	10	12	4	14	5	19
12	14	5	10	12	4	14	5	19	2
14	5	10	12	4	14	5	19	2	28
5	10	12	4	14	5	19	2	28	8
10	12	4	14	5	19	2	28	8	20
12	4	14	5	19	2	28	8	20	9
4	14	5	19	2	28	8	20	9	7
14	5	19	2	28	8	20	9	7	2
5	19	2	28	8	20	9	7	2	7
19	2	28	8	20	9	7	2	7	18
2	28	8	20	9	7	2	7	18	6
28	8	20	9	7	2	7	18	6	10
8	20	9	7	2	7	18	6	10	14
20	9	7	2	7	18	6	10	14	8
9	7	2	7	18	6	10	14	8	16
7	2	7	18	6	10	14	8	16	14
2	7	18	6	10	14	8	16	14	16
7	18	6	10	14	8	16	14	16	15
18	6	10	14	8	16	14	16	15	18
6	10	14	8	16	14	16	15	18	15
10	14	8	16	14	16	15	18	15	10
14	8	16	14	16	15	18	15	10	13
8	16	14	16	15	18	15	10	13	24
16	14	16	15	18	15	10	13	24	11
14	16	15	18	15	10	13	24	11	24
16	15	18	15	10	13	24	11	24	16
15	18	15	10	13	24	11	24	16	35
18	15	10	13	24	11	24	16	35	8
15	10	13	24	11	24	16	35	8	12
10	13	24	11	24	16	35	8	12	13
13	24	11	24	16	35	8	12	13	11
24	11	24	16	35	8	12	13	11	28
11	24	16	35	8	12	13	11	28	4
24	16	35	8	12	13	11	28	4	17
16	35	8	12	13	11	28	4	17	9
35	8	12	13	11	28	4	17	9	4
8	12	13	11	28	4	17	9	4	34
12	13	11	28	4	17	9	4	34	14
13	11	28	4	17	9	4	34	14	20
11	28	4	17	9	4	34	14	20	18
28	4	17	9	4	34	14	20	18	17
4	17	9	4	34	14	20	18	17	17
17	9	4	34	14	20	18	17	17	19
9	4	34	14	20	18	17	17	19	2
4	34	14	20	18	17	17	19	2	11
34	14	20	18	17	17	19	2	11	8
14	20	18	17	17	19	2	11	8	15
20	18	17	17	19	2	11	8	15	20
18	17	17	19	2	11	8	15	20	29
17	17	19	2	11	8	15	20	29	15
17	19	2	11	8	15	20	29	15	3
19	2	11	8	15	20	29	15	3	29
2	11	8	15	20	29	15	3	29	24
11	8	15	20	29	15	3	29	24	27
8	15	20	29	15	3	29	24	27	18
15	20	29	15	3	29	24	27	18	13
20	29	15	3	29	24	27	18	13	17
29	15	3	29	24	27	18	13	17	18
15	3	29	24	27	18	13	17	18	11
3	29	24	27	18	13	17	18	11	23
29	24	27	18	13	17	18	11	23	9
24	27	18	13	17	18	11	23	9	22
27	18	13	17	18	11	23	9	22	20
18	13	17	18	11	23	9	22	20	34
13	17	18	11	23	9	22	20	34	19
17	18	11	23	9	22	20	34	19	9
18	11	23	9	22	20	34	19	9	6
11	23	9	22	20	34	19	9	6	10
23	9	22	20	34	19	9	6	10	7
9	22	20	34	19	9	6	10	7	20
22	20	34	19	9	6	10	7	20	16
20	34	19	9	6	10	7	20	16	9
34	19	9	6	10	7	20	16	9	10
19	9	6	10	7	20	16	9	10	24
9	6	10	7	20	16	9	10	24	14
6	10	7	20	16	9	10	24	14	20
10	7	20	16	9	10	24	14	20	11
7	20	16	9	10	24	14	20	11	15
20	16	9	10	24	14	20	11	15	18
16	9	10	24	14	20	11	15	18	14
9	10	24	14	20	11	15	18	14	9
10	24	14	20	11	15	18	14	9	9
24	14	20	11	15	18	14	9	9	13
14	20	11	15	18	14	9	9	13	10
20	11	15	18	14	9	9	13	10	34
11	15	18	14	9	9	13	10	34	8
15	18	14	9	9	13	10	34	8	8
18	14	9	9	13	10	34	8	8	18
14	9	9	13	10	34	8	8	18	5
9	9	13	10	34	8	8	18	5	3
9	13	10	34	8	8	18	5	3	4
13	10	34	8	8	18	5	3	4	12
10	34	8	8	18	5	3	4	12	12
34	8	8	18	5	3	4	12	12	9
8	8	18	5	3	4	12	12	9	13
8	18	5	3	4	12	12	9	13	21
18	5	3	4	12	12	9	13	21	6
5	3	4	12	12	9	13	21	6	8
3	4	12	12	9	13	21	6	8	21
4	12	12	9	13	21	6	8	21	6
12	12	9	13	21	6	8	21	6	15
12	9	13	21	6	8	21	6	15	4
9	13	21	6	8	21	6	15	4	13
13	21	6	8	21	6	15	4	13	13
21	6	8	21	6	15	4	13	13	17
6	8	21	6	15	4	13	13	17	10
8	21	6	15	4	13	13	17	10	17
21	6	15	4	13	13	17	10	17	21
6	15	4	13	13	17	10	17	21	9
15	4	13	13	17	10	17	21	9	12
4	13	13	17	10	17	21	9	12	26
13	13	17	10	17	21	9	12	26	14
13	17	10	17	21	9	12	26	14	37
17	10	17	21	9	12	26	14	37	28
10	17	21	9	12	26	14	37	28	11
17	21	9	12	26	14	37	28	11	31
21	9	12	26	14	37	28	11	31	25
9	12	26	14	37	28	11	31	25	8
12	26	14	37	28	11	31	25	8	11
26	14	37	28	11	31	25	8	11	4
14	37	28	11	31	25	8	11	4	3
37	28	11	31	25	8	11	4	3	14
28	11	31	25	8	11	4	3	14	16
11	31	25	8	11	4	3	14	16	20
31	25	8	11	4	3	14	16	20	19
25	8	11	4	3	14	16	20	19	33
8	11	4	3	14	16	20	19	33	9
11	4	3	14	16	20	19	33	9	16
4	3	14	16	20	19	33	9	16	7
3	14	16	20	19	33	9	16	7	8
14	16	20	19	33	9	16	7	8	21
16	20	19	33	9	16	7	8	21	23
20	19	33	9	16	7	8	21	23	30
19	33	9	16	7	8	21	23	30	10
33	9	16	7	8	21	23	30	10	19
9	16	7	8	21	23	30	10	19	14
16	7	8	21	23	30	10	19	14	9
7	8	21	23	30	10	19	14	9	4
8	21	23	30	10	19	14	9	4	8
21	23	30	10	19	14	9	4	8	23
23	30	10	19	14	9	4	8	23	13
30	10	19	14	9	4	8	23	13	5
10	19	14	9	4	8	23	13	5	5
19	14	9	4	8	23	13	5	5	14
14	9	4	8	23	13	5	5	14	17
9	4	8	23	13	5	5	14	17	3
4	8	23	13	5	5	14	17	3	8
8	23	13	5	5	14	17	3	8	7
23	13	5	5	14	17	3	8	7	22
13	5	5	14	17	3	8	7	22	2
5	5	14	17	3	8	7	22	2	29
5	14	17	3	8	7	22	2	29	4
14	17	3	8	7	22	2	29	4	22
17	3	8	7	22	2	29	4	22	22
3	8	7	22	2	29	4	22	22	15
8	7	22	2	29	4	22	22	15	10
7	22	2	29	4	22	22	15	10	19
22	2	29	4	22	22	15	10	19	17
2	29	4	22	22	15	10	19	17	8
29	4	22	22	15	10	19	17	8	19
4	22	22	15	10	19	17	8	19	8
22	22	15	10	19	17	8	19	8	18
22	15	10	19	17	8	19	8	18	17
15	10	19	17	8	19	8	18	17	14
10	19	17	8	19	8	18	17	14	13
19	17	8	19	8	18	17	14	13	38
17	8	19	8	18	17	14	13	38	10
8	19	8	18	17	14	13	38	10	19
19	8	18	17	14	13	38	10	19	9
8	18	17	14	13	38	10	19	9	18
18	17	14	13	38	10	19	9	18	28
17	14	13	38	10	19	9	18	28	15
14	13	38	10	19	9	18	28	15	24
13	38	10	19	9	18	28	15	24	23
38	10	19	9	18	28	15	24	23	16
10	19	9	18	28	15	24	23	16	15
19	9	18	28	15	24	23	16	15	2
9	18	28	15	24	23	16	15	2	8
18	28	15	24	23	16	15	2	8	13
28	15	24	23	16	15	2	8	13	17
15	24	23	16	15	2	8	13	17	20
24	23	16	15	2	8	13	17	20	10
23	16	15	2	8	13	17	20	10	11
16	15	2	8	13	17	20	10	11	26
15	2	8	13	17	20	10	11	26	7
2	8	13	17	20	10	11	26	7	15
8	13	17	20	10	11	26	7	15	9
13	17	20	10	11	26	7	15	9	13
17	20	10	11	26	7	15	9	13	12
20	10	11	26	7	15	9	13	12	7
10	11	26	7	15	9	13	12	7	16
11	26	7	15	9	13	12	7	16	17
26	7	15	9	13	12	7	16	17	30
7	15	9	13	12	7	16	17	30	15
15	9	13	12	7	16	17	30	15	10
9	13	12	7	16	17	30	15	10	30
13	12	7	16	17	30	15	10	30	17
12	7	16	17	30	15	10	30	17	21
7	16	17	30	15	10	30	17	21	21
16	17	30	15	10	30	17	21	21	7
17	30	15	10	30	17	21	21	7	10
30	15	10	30	17	21	21	7	10	20
15	10	30	17	21	21	7	10	20	10
10	30	17	21	21	7	10	20	10	7
30	17	21	21	7	10	20	10	7	13
17	21	21	7	10	20	10	7	13	14
21	21	7	10	20	10	7	13	14	13
21	7	10	20	10	7	13	14	13	12
7	10	20	10	7	13	14	13	12	13
10	20	10	7	13	14	13	12	13	20
20	10	7	13	14	13	12	13	20	18
10	7	13	14	13	12	13	20	18	19
7	13	14	13	12	13	20	18	19	22
13	14	13	12	13	20	18	19	22	7
14	13	12	13	20	18	19	22	7	16
13	12	13	20	18	19	22	7	16	7
12	13	20	18	19	22	7	16	7	25
13	20	18	19	22	7	16	7	25	22
20	18	19	22	7	16	7	25	22	13
18	19	22	7	16	7	25	22	13	14
19	22	7	16	7	25	22	13	14	15
22	7	16	7	25	22	13	14	15	10
7	16	7	25	22	13	14	15	10	9
16	7	25	22	13	14	15	10	9	19
7	25	22	13	14	15	10	9	19	6
25	22	13	14	15	10	9	19	6	20
22	13	14	15	10	9	19	6	20	13
13	14	15	10	9	19	6	20	13	28
14	15	10	9	19	6	20	13	28	21
15	10	9	19	6	20	13	28	21	17
10	9	19	6	20	13	28	21	17	23
9	19	6	20	13	28	21	17	23	13
19	6	20	13	28	21	17	23	13	20
6	20	13	28	21	17	23	13	20	3
20	13	28	21	17	23	13	20	3	9
