prev1	prev2	prev3	prev4	prev5	prev6	prev7	prevy8	prev9	result
34	21	30	20	43	43	25	32	26	12
21	30	20	43	43	25	32	26	12	19
30	20	43	43	25	32	26	12	19	9
20	43	43	25	32	26	12	19	9	17
43	43	25	32	26	12	19	9	17	15
43	25	32	26	12	19	9	17	15	10
25	32	26	12	19	9	17	15	10	24
32	26	12	19	9	17	15	10	24	19
26	12	19	9	17	15	10	24	19	16
12	19	9	17	15	10	24	19	16	30
19	9	17	15	10	24	19	16	30	12
9	17	15	10	24	19	16	30	12	25
17	15	10	24	19	16	30	12	25	16
15	10	24	19	16	30	12	25	16	37
10	24	19	16	30	12	25	16	37	20
24	19	16	30	12	25	16	37	20	27
19	16	30	12	25	16	37	20	27	36
16	30	12	25	16	37	20	27	36	12
30	12	25	16	37	20	27	36	12	22
12	25	16	37	20	27	36	12	22	33
25	16	37	20	27	36	12	22	33	21
16	37	20	27	36	12	22	33	21	16
37	20	27	36	12	22	33	21	16	16
20	27	36	12	22	33	21	16	16	16
27	36	12	22	33	21	16	16	16	18
36	12	22	33	21	16	16	16	18	11
12	22	33	21	16	16	16	18	11	18
22	33	21	16	16	16	18	11	18	25
33	21	16	16	16	18	11	18	25	27
21	16	16	16	18	11	18	25	27	23
16	16	16	18	11	18	25	27	23	30
16	16	18	11	18	25	27	23	30	16
16	18	11	18	25	27	23	30	16	22
18	11	18	25	27	23	30	16	22	31
11	18	25	27	23	30	16	22	31	13
18	25	27	23	30	16	22	31	13	4
25	27	23	30	16	22	31	13	4	21
27	23	30	16	22	31	13	4	21	23
23	30	16	22	31	13	4	21	23	12
30	16	22	31	13	4	21	23	12	23
16	22	31	13	4	21	23	12	23	24
22	31	13	4	21	23	12	23	24	30
31	13	4	21	23	12	23	24	30	26
13	4	21	23	12	23	24	30	26	19
4	21	23	12	23	24	30	26	19	17
21	23	12	23	24	30	26	19	17	17
23	12	23	24	30	26	19	17	17	44
12	23	24	30	26	19	17	17	44	29
23	24	30	26	19	17	17	44	29	39
24	30	26	19	17	17	44	29	39	29
30	26	19	17	17	44	29	39	29	29
26	19	17	17	44	29	39	29	29	14
19	17	17	44	29	39	29	29	14	36
17	17	44	29	39	29	29	14	36	27
17	44	29	39	29	29	14	36	27	36
44	29	39	29	29	14	36	27	36	22
29	39	29	29	14	36	27	36	22	13
39	29	29	14	36	27	36	22	13	17
29	29	14	36	27	36	22	13	17	15
29	14	36	27	36	22	13	17	15	33
14	36	27	36	22	13	17	15	33	23
36	27	36	22	13	17	15	33	23	21
27	36	22	13	17	15	33	23	21	11
36	22	13	17	15	33	23	21	11	6
22	13	17	15	33	23	21	11	6	35
13	17	15	33	23	21	11	6	35	22
17	15	33	23	21	11	6	35	22	27
15	33	23	21	11	6	35	22	27	25
33	23	21	11	6	35	22	27	25	26
23	21	11	6	35	22	27	25	26	37
21	11	6	35	22	27	25	26	37	22
11	6	35	22	27	25	26	37	22	24
6	35	22	27	25	26	37	22	24	18
35	22	27	25	26	37	22	24	18	16
22	27	25	26	37	22	24	18	16	21
27	25	26	37	22	24	18	16	21	26
25	26	37	22	24	18	16	21	26	30
26	37	22	24	18	16	21	26	30	17
37	22	24	18	16	21	26	30	17	6
22	24	18	16	21	26	30	17	6	30
24	18	16	21	26	30	17	6	30	27
18	16	21	26	30	17	6	30	27	29
16	21	26	30	17	6	30	27	29	24
21	26	30	17	6	30	27	29	24	17
26	30	17	6	30	27	29	24	17	30
30	17	6	30	27	29	24	17	30	23
17	6	30	27	29	24	17	30	23	13
6	30	27	29	24	17	30	23	13	39
30	27	29	24	17	30	23	13	39	22
27	29	24	17	30	23	13	39	22	25
29	24	17	30	23	13	39	22	25	21
24	17	30	23	13	39	22	25	21	38
17	30	23	13	39	22	25	21	38	33
30	23	13	39	22	25	21	38	33	21
23	13	39	22	25	21	38	33	21	12
13	39	22	25	21	38	33	21	12	40
39	22	25	21	38	33	21	12	40	17
22	25	21	38	33	21	12	40	17	26
25	21	38	33	21	12	40	17	26	19
21	38	33	21	12	40	17	26	19	17
38	33	21	12	40	17	26	19	17	16
33	21	12	40	17	26	19	17	16	32
21	12	40	17	26	19	17	16	32	20
12	40	17	26	19	17	16	32	20	26
40	17	26	19	17	16	32	20	26	17
17	26	19	17	16	32	20	26	17	25
26	19	17	16	32	20	26	17	25	21
19	17	16	32	20	26	17	25	21	30
17	16	32	20	26	17	25	21	30	16
16	32	20	26	17	25	21	30	16	12
32	20	26	17	25	21	30	16	12	15
20	26	17	25	21	30	16	12	15	11
26	17	25	21	30	16	12	15	11	35
17	25	21	30	16	12	15	11	35	34
25	21	30	16	12	15	11	35	34	14
21	30	16	12	15	11	35	34	14	26
30	16	12	15	11	35	34	14	26	6
16	12	15	11	35	34	14	26	6	7
12	15	11	35	34	14	26	6	7	5
15	11	35	34	14	26	6	7	5	19
11	35	34	14	26	6	7	5	19	17
35	34	14	26	6	7	5	19	17	13
34	14	26	6	7	5	19	17	13	18
14	26	6	7	5	19	17	13	18	26
26	6	7	5	19	17	13	18	26	20
6	7	5	19	17	13	18	26	20	21
7	5	19	17	13	18	26	20	21	28
5	19	17	13	18	26	20	21	28	8
19	17	13	18	26	20	21	28	8	16
17	13	18	26	20	21	28	8	16	19
13	18	26	20	21	28	8	16	19	18
18	26	20	21	28	8	16	19	18	14
26	20	21	28	8	16	19	18	14	35
20	21	28	8	16	19	18	14	35	29
21	28	8	16	19	18	14	35	29	18
28	8	16	19	18	14	35	29	18	29
8	16	19	18	14	35	29	18	29	13
16	19	18	14	35	29	18	29	13	20
19	18	14	35	29	18	29	13	20	32
18	14	35	29	18	29	13	20	32	16
14	35	29	18	29	13	20	32	16	38
35	29	18	29	13	20	32	16	38	35
29	18	29	13	20	32	16	38	35	12
18	29	13	20	32	16	38	35	12	33
29	13	20	32	16	38	35	12	33	33
13	20	32	16	38	35	12	33	33	15
20	32	16	38	35	12	33	33	15	32
32	16	38	35	12	33	33	15	32	17
16	38	35	12	33	33	15	32	17	15
38	35	12	33	33	15	32	17	15	19
35	12	33	33	15	32	17	15	19	24
12	33	33	15	32	17	15	19	24	31
33	33	15	32	17	15	19	24	31	22
33	15	32	17	15	19	24	31	22	35
15	32	17	15	19	24	31	22	35	13
32	17	15	19	24	31	22	35	13	21
17	15	19	24	31	22	35	13	21	18
15	19	24	31	22	35	13	21	18	14
19	24	31	22	35	13	21	18	14	24
24	31	22	35	13	21	18	14	24	29
31	22	35	13	21	18	14	24	29	31
22	35	13	21	18	14	24	29	31	15
35	13	21	18	14	24	29	31	15	30
13	21	18	14	24	29	31	15	30	15
21	18	14	24	29	31	15	30	15	13
18	14	24	29	31	15	30	15	13	29
14	24	29	31	15	30	15	13	29	26
24	29	31	15	30	15	13	29	26	28
29	31	15	30	15	13	29	26	28	17
31	15	30	15	13	29	26	28	17	25
15	30	15	13	29	26	28	17	25	29
30	15	13	29	26	28	17	25	29	16
15	13	29	26	28	17	25	29	16	24
13	29	26	28	17	25	29	16	24	23
29	26	28	17	25	29	16	24	23	18
26	28	17	25	29	16	24	23	18	11
28	17	25	29	16	24	23	18	11	26
17	25	29	16	24	23	18	11	26	6
25	29	16	24	23	18	11	26	6	31
29	16	24	23	18	11	26	6	31	16
16	24	23	18	11	26	6	31	16	24
24	23	18	11	26	6	31	16	24	24
23	18	11	26	6	31	16	24	24	30
18	11	26	6	31	16	24	24	30	12
11	26	6	31	16	24	24	30	12	32
26	6	31	16	24	24	30	12	32	19
6	31	16	24	24	30	12	32	19	21
31	16	24	24	30	12	32	19	21	22
16	24	24	30	12	32	19	21	22	10
24	24	30	12	32	19	21	22	10	19
24	30	12	32	19	21	22	10	19	19
30	12	32	19	21	22	10	19	19	16
12	32	19	21	22	10	19	19	16	18
32	19	21	22	10	19	19	16	18	39
19	21	22	10	19	19	16	18	39	11
21	22	10	19	19	16	18	39	11	22
22	10	19	19	16	18	39	11	22	30
10	19	19	16	18	39	11	22	30	21
19	19	16	18	39	11	22	30	21	29
19	16	18	39	11	22	30	21	29	24
16	18	39	11	22	30	21	29	24	30
18	39	11	22	30	21	29	24	30	37
39	11	22	30	21	29	24	30	37	39
11	22	30	21	29	24	30	37	39	25
22	30	21	29	24	30	37	39	25	4
30	21	29	24	30	37	39	25	4	9
21	29	24	30	37	39	25	4	9	17
29	24	30	37	39	25	4	9	17	22
24	30	37	39	25	4	9	17	22	21
30	37	39	25	4	9	17	22	21	30
37	39	25	4	9	17	22	21	30	13
39	25	4	9	17	22	21	30	13	30
25	4	9	17	22	21	30	13	30	12
4	9	17	22	21	30	13	30	12	20
9	17	22	21	30	13	30	12	20	27
17	22	21	30	13	30	12	20	27	16
22	21	30	13	30	12	20	27	16	13
21	30	13	30	12	20	27	16	13	9
30	13	30	12	20	27	16	13	9	21
13	30	12	20	27	16	13	9	21	19
30	12	20	27	16	13	9	21	19	32
12	20	27	16	13	9	21	19	32	21
20	27	16	13	9	21	19	32	21	21
27	16	13	9	21	19	32	21	21	36
16	13	9	21	19	32	21	21	36	19
13	9	21	19	32	21	21	36	19	36
9	21	19	32	21	21	36	19	36	34
21	19	32	21	21	36	19	36	34	9
19	32	21	21	36	19	36	34	9	35
32	21	21	36	19	36	34	9	35	22
21	21	36	19	36	34	9	35	22	12
21	36	19	36	34	9	35	22	12	8
36	19	36	34	9	35	22	12	8	14
19	36	34	9	35	22	12	8	14	33
36	34	9	35	22	12	8	14	33	19
34	9	35	22	12	8	14	33	19	20
9	35	22	12	8	14	33	19	20	45
35	22	12	8	14	33	19	20	45	28
22	12	8	14	33	19	20	45	28	20
12	8	14	33	19	20	45	28	20	23
8	14	33	19	20	45	28	20	23	25
14	33	19	20	45	28	20	23	25	37
33	19	20	45	28	20	23	25	37	23
19	20	45	28	20	23	25	37	23	15
20	45	28	20	23	25	37	23	15	28
45	28	20	23	25	37	23	15	28	27
28	20	23	25	37	23	15	28	27	24
20	23	25	37	23	15	28	27	24	18
23	25	37	23	15	28	27	24	18	17
25	37	23	15	28	27	24	18	17	18
37	23	15	28	27	24	18	17	18	15
23	15	28	27	24	18	17	18	15	22
15	28	27	24	18	17	18	15	22	32
28	27	24	18	17	18	15	22	32	29
27	24	18	17	18	15	22	32	29	25
24	18	17	18	15	22	32	29	25	31
18	17	18	15	22	32	29	25	31	32
17	18	15	22	32	29	25	31	32	33
18	15	22	32	29	25	31	32	33	24
15	22	32	29	25	31	32	33	24	23
22	32	29	25	31	32	33	24	23	38
32	29	25	31	32	33	24	23	38	7
29	25	31	32	33	24	23	38	7	16
