prev1	prev2	prev3	prev4	prev5	prev6	prev7	prevy8	prev9	result
46	34	48	33	46	44	49	49	43	43
34	48	33	46	44	49	49	43	43	42
48	33	46	44	49	49	43	43	42	44
33	46	44	49	49	43	43	42	44	42
46	44	49	49	43	43	42	44	42	40
44	49	49	43	43	42	44	42	40	48
49	49	43	43	42	44	42	40	48	32
49	43	43	42	44	42	40	48	32	49
43	43	42	44	42	40	48	32	49	45
43	42	44	42	40	48	32	49	45	41
42	44	42	40	48	32	49	45	41	46
44	42	40	48	32	49	45	41	46	47
42	40	48	32	49	45	41	46	47	42
40	48	32	49	45	41	46	47	42	33
48	32	49	45	41	46	47	42	33	48
32	49	45	41	46	47	42	33	48	49
49	45	41	46	47	42	33	48	49	45
45	41	46	47	42	33	48	49	45	48
41	46	47	42	33	48	49	45	48	48
46	47	42	33	48	49	45	48	48	29
47	42	33	48	49	45	48	48	29	48
42	33	48	49	45	48	48	29	48	46
33	48	49	45	48	48	29	48	46	43
48	49	45	48	48	29	48	46	43	45
49	45	48	48	29	48	46	43	45	44
45	48	48	29	48	46	43	45	44	47
48	48	29	48	46	43	45	44	47	49
48	29	48	46	43	45	44	47	49	34
29	48	46	43	45	44	47	49	34	43
48	46	43	45	44	47	49	34	43	39
46	43	45	44	47	49	34	43	39	45
43	45	44	47	49	34	43	39	45	37
45	44	47	49	34	43	39	45	37	43
44	47	49	34	43	39	45	37	43	27
47	49	34	43	39	45	37	43	27	40
49	34	43	39	45	37	43	27	40	49
34	43	39	45	37	43	27	40	49	47
43	39	45	37	43	27	40	49	47	46
39	45	37	43	27	40	49	47	46	47
45	37	43	27	40	49	47	46	47	39
37	43	27	40	49	47	46	47	39	46
43	27	40	49	47	46	47	39	46	40
27	40	49	47	46	47	39	46	40	39
40	49	47	46	47	39	46	40	39	47
49	47	46	47	39	46	40	39	47	44
47	46	47	39	46	40	39	47	44	44
46	47	39	46	40	39	47	44	44	36
47	39	46	40	39	47	44	44	36	48
39	46	40	39	47	44	44	36	48	49
46	40	39	47	44	44	36	48	49	38
40	39	47	44	44	36	48	49	38	45
39	47	44	44	36	48	49	38	45	38
47	44	44	36	48	49	38	45	38	43
44	44	36	48	49	38	45	38	43	43
44	36	48	49	38	45	38	43	43	49
36	48	49	38	45	38	43	43	49	46
48	49	38	45	38	43	43	49	46	41
49	38	45	38	43	43	49	46	41	40
38	45	38	43	43	49	46	41	40	47
45	38	43	43	49	46	41	40	47	41
38	43	43	49	46	41	40	47	41	44
43	43	49	46	41	40	47	41	44	49
43	49	46	41	40	47	41	44	49	40
49	46	41	40	47	41	44	49	40	49
46	41	40	47	41	44	49	40	49	44
41	40	47	41	44	49	40	49	44	17
40	47	41	44	49	40	49	44	17	42
47	41	44	49	40	49	44	17	42	49
41	44	49	40	49	44	17	42	49	49
44	49	40	49	44	17	42	49	49	37
49	40	49	44	17	42	49	49	37	49
40	49	44	17	42	49	49	37	49	49
49	44	17	42	49	49	37	49	49	28
44	17	42	49	49	37	49	49	28	38
17	42	49	49	37	49	49	28	38	35
42	49	49	37	49	49	28	38	35	47
49	49	37	49	49	28	38	35	47	46
49	37	49	49	28	38	35	47	46	48
37	49	49	28	38	35	47	46	48	41
49	49	28	38	35	47	46	48	41	29
49	28	38	35	47	46	48	41	29	46
28	38	35	47	46	48	41	29	46	38
38	35	47	46	48	41	29	46	38	48
35	47	46	48	41	29	46	38	48	45
47	46	48	41	29	46	38	48	45	47
46	48	41	29	46	38	48	45	47	48
48	41	29	46	38	48	45	47	48	49
41	29	46	38	48	45	47	48	49	47
29	46	38	48	45	47	48	49	47	25
46	38	48	45	47	48	49	47	25	48
38	48	45	47	48	49	47	25	48	44
48	45	47	48	49	47	25	48	44	38
45	47	48	49	47	25	48	44	38	49
47	48	49	47	25	48	44	38	49	45
48	49	47	25	48	44	38	49	45	46
49	47	25	48	44	38	49	45	46	48
47	25	48	44	38	49	45	46	48	35
25	48	44	38	49	45	46	48	35	48
48	44	38	49	45	46	48	35	48	46
44	38	49	45	46	48	35	48	46	46
38	49	45	46	48	35	48	46	46	27
49	45	46	48	35	48	46	46	27	35
45	46	48	35	48	46	46	27	35	40
46	48	35	48	46	46	27	35	40	49
48	35	48	46	46	27	35	40	49	42
35	48	46	46	27	35	40	49	42	44
48	46	46	27	35	40	49	42	44	37
46	46	27	35	40	49	42	44	37	46
46	27	35	40	49	42	44	37	46	43
27	35	40	49	42	44	37	46	43	39
35	40	49	42	44	37	46	43	39	42
40	49	42	44	37	46	43	39	42	38
49	42	44	37	46	43	39	42	38	42
42	44	37	46	43	39	42	38	42	42
44	37	46	43	39	42	38	42	42	46
37	46	43	39	42	38	42	42	46	44
46	43	39	42	38	42	42	46	44	43
43	39	42	38	42	42	46	44	43	49
39	42	38	42	42	46	44	43	49	39
42	38	42	42	46	44	43	49	39	43
38	42	42	46	44	43	49	39	43	46
42	42	46	44	43	49	39	43	46	45
42	46	44	43	49	39	43	46	45	44
46	44	43	49	39	43	46	45	44	32
44	43	49	39	43	46	45	44	32	38
43	49	39	43	46	45	44	32	38	39
49	39	43	46	45	44	32	38	39	49
39	43	46	45	44	32	38	39	49	48
43	46	45	44	32	38	39	49	48	49
46	45	44	32	38	39	49	48	49	33
45	44	32	38	39	49	48	49	33	39
44	32	38	39	49	48	49	33	39	34
32	38	39	49	48	49	33	39	34	47
38	39	49	48	49	33	39	34	47	34
39	49	48	49	33	39	34	47	34	49
49	48	49	33	39	34	47	34	49	41
48	49	33	39	34	47	34	49	41	42
49	33	39	34	47	34	49	41	42	48
33	39	34	47	34	49	41	42	48	47
39	34	47	34	49	41	42	48	47	38
34	47	34	49	41	42	48	47	38	48
47	34	49	41	42	48	47	38	48	45
34	49	41	42	48	47	38	48	45	46
49	41	42	48	47	38	48	45	46	45
41	42	48	47	38	48	45	46	45	44
42	48	47	38	48	45	46	45	44	48
48	47	38	48	45	46	45	44	48	43
47	38	48	45	46	45	44	48	43	47
38	48	45	46	45	44	48	43	47	41
48	45	46	45	44	48	43	47	41	41
45	46	45	44	48	43	47	41	41	40
46	45	44	48	43	47	41	41	40	46
45	44	48	43	47	41	41	40	46	48
44	48	43	47	41	41	40	46	48	48
48	43	47	41	41	40	46	48	48	41
43	47	41	41	40	46	48	48	41	49
47	41	41	40	46	48	48	41	49	29
41	41	40	46	48	48	41	49	29	45
41	40	46	48	48	41	49	29	45	39
40	46	48	48	41	49	29	45	39	47
46	48	48	41	49	29	45	39	47	44
48	48	41	49	29	45	39	47	44	46
48	41	49	29	45	39	47	44	46	45
41	49	29	45	39	47	44	46	45	49
49	29	45	39	47	44	46	45	49	41
29	45	39	47	44	46	45	49	41	48
45	39	47	44	46	45	49	41	48	43
39	47	44	46	45	49	41	48	43	37
47	44	46	45	49	41	48	43	37	43
44	46	45	49	41	48	43	37	43	48
46	45	49	41	48	43	37	43	48	44
45	49	41	48	43	37	43	48	44	42
49	41	48	43	37	43	48	44	42	49
41	48	43	37	43	48	44	42	49	42
48	43	37	43	48	44	42	49	42	49
43	37	43	48	44	42	49	42	49	47
37	43	48	44	42	49	42	49	47	31
43	48	44	42	49	42	49	47	31	41
48	44	42	49	42	49	47	31	41	38
44	42	49	42	49	47	31	41	38	30
42	49	42	49	47	31	41	38	30	49
49	42	49	47	31	41	38	30	49	37
42	49	47	31	41	38	30	49	37	45
49	47	31	41	38	30	49	37	45	48
47	31	41	38	30	49	37	45	48	44
31	41	38	30	49	37	45	48	44	49
41	38	30	49	37	45	48	44	49	49
38	30	49	37	45	48	44	49	49	47
30	49	37	45	48	44	49	49	47	47
49	37	45	48	44	49	49	47	47	46
37	45	48	44	49	49	47	47	46	42
45	48	44	49	49	47	47	46	42	49
48	44	49	49	47	47	46	42	49	47
44	49	49	47	47	46	42	49	47	38
49	49	47	47	46	42	49	47	38	47
49	47	47	46	42	49	47	38	47	45
47	47	46	42	49	47	38	47	45	43
47	46	42	49	47	38	47	45	43	46
46	42	49	47	38	47	45	43	46	47
42	49	47	38	47	45	43	46	47	40
49	47	38	47	45	43	46	47	40	44
47	38	47	45	43	46	47	40	44	43
38	47	45	43	46	47	40	44	43	49
47	45	43	46	47	40	44	43	49	45
45	43	46	47	40	44	43	49	45	48
43	46	47	40	44	43	49	45	48	47
46	47	40	44	43	49	45	48	47	48
47	40	44	43	49	45	48	47	48	42
40	44	43	49	45	48	47	48	42	41
44	43	49	45	48	47	48	42	41	49
43	49	45	48	47	48	42	41	49	35
49	45	48	47	48	42	41	49	35	46
45	48	47	48	42	41	49	35	46	44
48	47	48	42	41	49	35	46	44	38
47	48	42	41	49	35	46	44	38	47
48	42	41	49	35	46	44	38	47	39
42	41	49	35	46	44	38	47	39	47
41	49	35	46	44	38	47	39	47	45
49	35	46	44	38	47	39	47	45	35
35	46	44	38	47	39	47	45	35	17
46	44	38	47	39	47	45	35	17	42
44	38	47	39	47	45	35	17	42	46
38	47	39	47	45	35	17	42	46	47
47	39	47	45	35	17	42	46	47	45
39	47	45	35	17	42	46	47	45	47
47	45	35	17	42	46	47	45	47	47
45	35	17	42	46	47	45	47	47	49
35	17	42	46	47	45	47	47	49	44
17	42	46	47	45	47	47	49	44	48
42	46	47	45	47	47	49	44	48	49
46	47	45	47	47	49	44	48	49	46
47	45	47	47	49	44	48	49	46	49
45	47	47	49	44	48	49	46	49	48
47	47	49	44	48	49	46	49	48	47
47	49	44	48	49	46	49	48	47	42
49	44	48	49	46	49	48	47	42	47
44	48	49	46	49	48	47	42	47	48
48	49	46	49	48	47	42	47	48	49
49	46	49	48	47	42	47	48	49	48
46	49	48	47	42	47	48	49	48	49
49	48	47	42	47	48	49	48	49	48
48	47	42	47	48	49	48	49	48	46
47	42	47	48	49	48	49	48	46	49
42	47	48	49	48	49	48	46	49	46
47	48	49	48	49	48	46	49	46	47
48	49	48	49	48	46	49	46	47	48
49	48	49	48	46	49	46	47	48	46
48	49	48	46	49	46	47	48	46	45
49	48	46	49	46	47	48	46	45	33
48	46	49	46	47	48	46	45	33	44
46	49	46	47	48	46	45	33	44	45
49	46	47	48	46	45	33	44	45	48
46	47	48	46	45	33	44	45	48	45
47	48	46	45	33	44	45	48	45	45
48	46	45	33	44	45	48	45	45	49
46	45	33	44	45	48	45	45	49	42
45	33	44	45	48	45	45	49	42	47
33	44	45	48	45	45	49	42	47	49
44	45	48	45	45	49	42	47	49	45
45	48	45	45	49	42	47	49	45	45
48	45	45	49	42	47	49	45	45	44
45	45	49	42	47	49	45	45	44	44
45	49	42	47	49	45	45	44	44	47
49	42	47	49	45	45	44	44	47	47
42	47	49	45	45	44	44	47	47	46
